date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:25	40708/40708	---M-Z	200	added ('OK')	text/html	etag:%229f04-6400a34d-9ece6606bbce8365;gz%22	https://designarc.biz/demos/cake/theme/cake-html/index.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/index.html	(from )
08:55:27	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d121eca-96ef23ded25d7ea5;gz%22	https://designarc.biz/robots.txt		(from )
08:55:27	926/926	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2003:25:09%20GMT	https://designarc.biz/demos/cake/theme/cake-html/img/fav-icon.png	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/img/fav-icon.png	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-6400a34d-6bd8253934bf1815;gz%22	https://designarc.biz/demos/cake/theme/cake-html/css/font-awesome.min.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/css/font-awesome.min.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:29	8344/8344	---M-Z	200	added ('OK')	text/css	etag:%222098-6400a34d-f879a519097cfa8d;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/linearicons/style.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/linearicons/style.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:30	1319/1319	---M-Z	200	added ('OK')	text/css	etag:%22527-6400a34d-66d5c1969016e7a8;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/flat-icon/flaticon.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/flat-icon/flaticon.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:31	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-6400a34d-a73f1cf5c9cce3c8;gz%22	https://designarc.biz/demos/cake/theme/cake-html/css/bootstrap.min.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/css/bootstrap.min.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:32	29629/29629	---M-Z	200	added ('OK')	text/css	etag:%2273bd-6400a34d-64f7d6f63b1abc5b;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/settings.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/settings.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:32	146597/146597	---M-Z	200	added ('OK')	text/css	etag:%2223ca5-6400a34d-cf165b5215ae36e0;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/layers.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/layers.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:33	59576/59576	---M-Z	200	added ('OK')	text/css	etag:%22e8b8-6400a34d-c557a2b65480e16a;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/navigation.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/revolution/css/navigation.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:34	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-6400a34d-8a5b56f7be2587d8;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/animate-css/animate.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/animate-css/animate.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:35	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-6400a34d-4bff13befbe99446;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/owl-carousel/owl.carousel.min.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/owl-carousel/owl.carousel.min.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:35	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-6400a34d-5efc2957a59c9c5b;gz%22	https://designarc.biz/demos/cake/theme/cake-html/vendors/magnifc-popup/magnific-popup.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/vendors/magnifc-popup/magnific-popup.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:36	150458/150458	---M-Z	200	added ('OK')	text/css	etag:%2224bba-6400a34d-6b3391944651f16d;gz%22	https://designarc.biz/demos/cake/theme/cake-html/css/style.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/css/style.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:37	23348/23348	---M-Z	200	added ('OK')	text/css	etag:%225b34-6400a34d-f09cc69e126d5005;gz%22	https://designarc.biz/demos/cake/theme/cake-html/css/responsive.css	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/css/responsive.css	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:38	4564/4564	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2003:25:19%20GMT	https://designarc.biz/demos/cake/theme/cake-html/img/logo.png	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/img/logo.png	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:39	3617/3617	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2003:25:20%20GMT	https://designarc.biz/demos/cake/theme/cake-html/img/logo-2.png	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/img/logo-2.png	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:39	46125/46125	---M-Z	200	added ('OK')	text/html	etag:%22b42d-6400a34d-a718406a8a90d7ed;gz%22	https://designarc.biz/demos/cake/theme/cake-html/index-2.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/index-2.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:40	47199/47199	---M-Z	200	added ('OK')	text/html	etag:%22b85f-6400a34d-7f382edc7da8df4;gz%22	https://designarc.biz/demos/cake/theme/cake-html/index-3.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/index-3.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:41	40558/40558	---M-Z	200	added ('OK')	text/html	etag:%229e6e-6400a34d-b2b5f7429b19d50e;gz%22	https://designarc.biz/demos/cake/theme/cake-html/index-4.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/index-4.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:42	52773/52773	---M-Z	200	added ('OK')	text/html	etag:%22ce25-6400a34d-49f8750a524225bc;gz%22	https://designarc.biz/demos/cake/theme/cake-html/index-5.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/index-5.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:42	21072/21072	---M-Z	200	added ('OK')	text/html	etag:%225250-6400a34d-7168ca17bd29702d;gz%22	https://designarc.biz/demos/cake/theme/cake-html/cake.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/cake.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:43	17935/17935	---M-Z	200	added ('OK')	text/html	etag:%22460f-6400a34d-d5458c3841435904;gz%22	https://designarc.biz/demos/cake/theme/cake-html/menu.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/menu.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:44	21491/21491	---M-Z	200	added ('OK')	text/html	etag:%2253f3-6400a34d-aaa27f06fd9dd0fa;gz%22	https://designarc.biz/demos/cake/theme/cake-html/about-us.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/about-us.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:45	18404/18404	---M-Z	200	added ('OK')	text/html	etag:%2247e4-6400a34d-3f0702517b579c69;gz%22	https://designarc.biz/demos/cake/theme/cake-html/our-team.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/our-team.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:45	16443/16443	---M-Z	200	added ('OK')	text/html	etag:%22403b-6400a34d-c3721155879248e2;gz%22	https://designarc.biz/demos/cake/theme/cake-html/testimonials.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/testimonials.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:46	22717/22717	---M-Z	200	added ('OK')	text/html	etag:%2258bd-6400a34d-92effc3b52482883;gz%22	https://designarc.biz/demos/cake/theme/cake-html/service.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/service.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
08:55:47	18946/18946	---M-Z	200	added ('OK')	text/html	etag:%224a02-6400a34d-f57a3058e59ad9f9;gz%22	https://designarc.biz/demos/cake/theme/cake-html/portfolio.html	C:/Users/Prashant%20Zagade/Desktop/xamp/htdocs/chocolate%20cake/designarc.biz/demos/cake/theme/cake-html/portfolio.html	(from https://designarc.biz/demos/cake/theme/cake-html/index.html)
